"","iso2c","country","year","NY.GDP.PCAP.CD","SP.DYN.IMRT.IN"
"1","GB","United Kingdom",1960,1380.30624126257,22.9
"2","GB","United Kingdom",1961,1452.54470901356,22.5
"3","GB","United Kingdom",1962,1513.65144854926,22
"4","GB","United Kingdom",1963,1592.61447661562,21.4
"5","GB","United Kingdom",1964,1729.39997803568,20.8
"6","GB","United Kingdom",1965,1850.95476855498,20.1
"7","GB","United Kingdom",1966,1959.62782962126,19.6
"8","GB","United Kingdom",1967,2023.62756371118,19.1
"9","GB","United Kingdom",1968,1896.38674860735,18.7
"10","GB","United Kingdom",1969,2032.34700964503,18.4
"11","GB","United Kingdom",1970,2347.54431773747,18
"12","GB","United Kingdom",1971,2649.80151387223,17.7
"13","GB","United Kingdom",1972,3030.43251411977,17.2
"14","GB","United Kingdom",1973,3426.27622050378,16.6
"15","GB","United Kingdom",1974,3665.8627976419,16
"16","GB","United Kingdom",1975,4299.74561799284,15.4
"17","GB","United Kingdom",1976,4138.16778761535,14.7
"18","GB","United Kingdom",1977,4681.43993173038,14.1
"19","GB","United Kingdom",1978,5976.93816899991,13.4
"20","GB","United Kingdom",1979,7804.76208051155,12.7
"21","GB","United Kingdom",1980,10032.062080015,12
"22","GB","United Kingdom",1981,9599.30622221965,11.4
"23","GB","United Kingdom",1982,9146.07735701852,10.8
"24","GB","United Kingdom",1983,8691.51881306514,10.4
"25","GB","United Kingdom",1984,8179.19444064991,10
"26","GB","United Kingdom",1985,8652.21654247593,9.7
"27","GB","United Kingdom",1986,10611.112210096,9.5
"28","GB","United Kingdom",1987,13118.586534629,9.2
"29","GB","United Kingdom",1988,15987.1680775688,8.8
"30","GB","United Kingdom",1989,16239.2821960944,8.4
"31","GB","United Kingdom",1990,19095.4669984608,7.9
"32","GB","United Kingdom",1991,19900.7266505069,7.4
"33","GB","United Kingdom",1992,20487.1707852878,7
"34","GB","United Kingdom",1993,18389.0195675099,6.6
"35","GB","United Kingdom",1994,19709.2380983653,6.3
"36","GB","United Kingdom",1995,22755.5621228195,6.1
"37","GB","United Kingdom",1996,23947.958749578,5.9
"38","GB","United Kingdom",1997,26357.5271904696,5.8
"39","GB","United Kingdom",1998,27759.3342111026,5.8
"40","GB","United Kingdom",1999,28154.3712561647,5.7
"41","GB","United Kingdom",2000,27769.9312549996,5.6
"42","GB","United Kingdom",2001,27284.2240406095,5.4
"43","GB","United Kingdom",2002,29603.465763617,5.3
"44","GB","United Kingdom",2003,34007.8887574143,5.3
"45","GB","United Kingdom",2004,39824.7618053778,5.2
"46","GB","United Kingdom",2005,41524.0655354404,5.1
"47","GB","United Kingdom",2006,44016.7264104656,5
"48","GB","United Kingdom",2007,49949.1548811539,4.9
"49","GB","United Kingdom",2008,46523.2654539202,4.7
"50","GB","United Kingdom",2009,38010.1004506576,4.6
"51","GB","United Kingdom",2010,38708.6762921633,4.4
"52","GB","United Kingdom",2011,41243.123274868,4.2
"53","GB","United Kingdom",2012,41538.3072616553,4.1
"54","GB","United Kingdom",2013,42407.3710146402,3.9
"55","GB","United Kingdom",2014,46412.1172713997,3.7
"56","GB","United Kingdom",2015,43875.9696143686,3.5
